Name,Tags
*,Любая последовательность любых символов
?,Любой один символ
[символы],Любой один символ из указанного множества символов
[!символы],"Любой один символ, не принадлежащий указанному множеству."
[[:класс:]],"Любой один символ, принадлежащий указанному классу."
[:alnum:],Любой алфавитно-цифровой символ
[:alpha:],Любой алфавитный символ
[:digit:],Любой цифровой символ
[:lower:],Любая буква в нижнем регистре
[:upper:],Любая буква в верхнем регистре
[A-Z],"Любой символ из диапазона "
