Name,Tags
/,Корневой каталог
/bin,Содержит двоичные файлы (программы) для загрузки и функционирования системы.
/dev,Содержит узлы устройств. Хранит список всех известных устройст
/etc,"Содержит все системны конфигурационные файлы, коллекции сценариев командной оболочки, запускающие системные службы во время загрузки. (/etc/crontab - файл, определяющий время запуска автоматизированных заданий, /etc/fstab - таблица устройств хранения и соответствующих им точек монтирования, /etc/password - список всех учетных записей пользователя)"
/home,Каждому пользователю выделяется свой домашний каталог в этом разделе. В домашнем каталоге обычные пользователи могут записывать инфу в файлы.
/lib,"Содержит файлы разделяемых библиотек, используемых основными системными программами"
/lost+found,"Используется на случай частичного восстановления повреждений в файловой системе. Если с системой все в порядке, каталог будет оставаться пустым"
/media,"Содержит точки монтирования съемных носителей (USB-диски, CD-ROM и т.д., которые монтируются в момент подключения)"
/mnt,"сореджит точки монтирования съемных носителей, монтируемых вручную"
/opt,Используется для установки необязательного программного обеспечения.
/proc,"Виртуальная файловая система, поддерживаемая ядром Linux. Файлы в ней являются ""глазками"", через которые можно заглянуть в ядро."
/root,домашний каталог пользователя root
/tmp,Временное хранилище для временных файлов. Иногда очищается (обычно при перезагрузке).
/usr,"Самый объемный каталог в файловой системе. В нем хранятся все программы и файлы поддержки, используемые обычными пользователями"
/usr/bin,Содержит выполняемые программы.
/usr/lib,Содержит разделяемые библиотеки для программ в /usr/bin
/usr/local,"Используется для установки программ, которые не входят в состав дистрибутива."
/usr/sbin,Содержит дополнительные программы для администрировнаия
/usr/share,"Содержит все разделяемые данные, используемые программами в /usr/bin, в том числе конфигурационные файлы с настройками по умолчанию, ярлыки, фоновые изображения для рабочего стола, звуковые файлы."
/usr/share/doc,"Большинстов пакетов содержат документацию, которая хранится в этом каталоге."
/var,"Здесь хранятся часто изменяемые данные (различные БД, буферные файлы, почты пользователей и т.д.)"
/var/log,"содержит файлы журналов с записями о различных действиях, выполнявшихся в системе. Наиболее полезным является файл /var/log/messages. Для просмтора могут потребоваться привелегии суперпользователя."
